article_id,essay,emotion
218,"It's ridiculous that this day in age and for such an advanced country, we can't even get water right. It should be a priority that a basic necessity for life be safe. If we can't do water right, how can we do anything else right? It's a freaking joke. Our whole governmental system is a mess. And yet, no one does anything.",anger
342,"It doesn't matter what country you live in. The powerful will always stomp on the weak. Expecting anything from your government or your party is pointless unless you have some amount of influence. Politics have not stopped war, poverty, disease, crime, or anything else. It simply is a way to subjugate mass amounts of people no differently than in olden times. They keep painting a pretty picture, and we all live in this illusion that life can be great here or there. But that is because there is not enough focus on the horrible things happening under our noses, even in our own neighborhoods. People are wretched, and those who rise to power will continue to be the most retched as they sell themselves out to any donor, or support that will keep them in power.",anger
247,"This is a terrible story, but we can't go so far as to blame an entire religion for the actions of some. We hope what happened to Paris never happens again, but we simply need a bit more security and people with their eyes open - not attitudes against an entire religion or people. Consider these unfortunate ways of rallying countries behind one cause of peace.",sadness
400,"This is a sad story. There is a Rhino Orphanage, but a beloved rhino just passed about. They tried so hard to save this rhino, and unfortunately the baby rhino named Thula is the area that this happened in. It never gets easier. The other rhinos here are being taken care of, but it was a great loss, and we all feel so bad about it. The name of the baby rhino was Isibindi, and she will be missed.",sadness
119,This was a somewhat interesting article about the frequency of eye injuries in sports for children.  They really could have used more data in the article but interesting all the same.  The only real gripe I had was somehow playing with airsoft guns around the house are counted as sports related injuries so the data doesn't seem that reliable.,surprise
215,"So, I just read an article that I have absolutely no interest in. It was a bunch of gossip about Val Kilmer's health, as if that is newsworthy. I'm not even sure why I read the whole thing. I gained nothing in the way of knowledge by reading this article. What a waste of time! People really should learn how to mind their own business.",anger
387,These type of events of bomb explosions and terrorist threats are extremely dangerous and should be taken very seriously. People are just going around for their day and they don't really know what could happen to them and these type of incidents are very tragic and hurtful. The security measures in the United States should be more careful and should check anyone that is suspicious and make the country a safer place than how it already is.,fear
300,"That's interesting about the buzzing possibly being created by the brain. I always thought it was created by the auditory nerve. Someone very close to me deals with tinnitus every day, and I always thought it was odd because I'm the one who has worked in high noise environments, but she's the one who suffers with it. It's interesting because it says psychotherapy is a possible solution which would make us very happy if it's real.",surprise
180,"We live in a world someone can not only be arrested for their thoughts, but can be seen as a target for violence from monsters. From the shooter, to the local government, these actions should be condemned on all fronts. The government was wrong to arrest the deceased, and the murderer was of course wrong for shooting him to death . I am saddened that someone lost his life because of his charge of a charged message. While I do feel glad that apparent justice will be served in this case, this just goes to show you how violent some people can become when you toss religious ideals into the mix.",sadness
370,"It's so sad to see that world hunger is still such a large issue in other countries, especially when it seems like so much of our food goes to waste. Children passing out in the streets simply because they have no food to eat is heartbreaking. No one should have to suffer simply because they can't afford food. There needs to be another option.",sadness
82,Hi can you believe this? We have to be very careful with this. You never know what kind of damage you can receive in your eyes from having these infections. I would never want to this to happen to me or my daughter. I will have to really take care of my our lenses from now and on to prevent any damage.,fear
157,"This sort of story is showing up far too much in the news anymore.  It shows a deepening divide of racial tensions in America, which is something I thought we had finally put behind us.  That being said, I mean that the racial tension is coming from BOTH sides, not just one side or the other.  BOTH sides need to be held accountable for their actions and the divide they are creating in this country.",fear
207,"What I learned is that one of the things I learned was Allah is with the patient people, that only Allah can protect a person, that Allah Is the best protector, Good and bad come from him alone, that we should depend on him for everything, that he will reward the believers who are suffering for having patience because Allah I always with the good people, I believe justice will be served on judgement day.",neutral
126,I honestly can't believe I just read that whole article about a frog. I absolutely despise them. They are some of the most vile creatures on this earth. Ew. But.... there was something pretty interesting at the end of the article. One of the researchers claim that over half of all species will be extinct by the end of the century. That is insane!!!! Pretty sure most of that is due to climate change but we have Donald Asshat and Company who refuse to acknowledge it or its repercussions.,disgust
280,I can't even imagine what it would be like to be minding our own business in a club and then having someone come in and shoot you. This must have been terrifying for this person. I certainly hope they did not lose their life and I also hope this is not an incident that leads to further problems in the future.,fear
121,"This article greatly disturbs me. The fact that we treat Muslims and people of their culture like dogs and terrorist is disgusting and wrong both morally and ethically. The way they are being shown on tv and media is wrong and horrible. Our president thinks that if we ban muslims from the country, all of a sudden our nation is safe. When the fact of the matter is, most shootings that happen in this country, are from Caucasians. Muslims are shown in bad light due to some extremist and they do not deserve this treatment.",disgust
371,"Video Shows Cop Punching Woman In The Face, But She’s The One Arrested For ‘Assault’ — A uniformed Arizona police officer who was filmed punching a woman has been placed on administrative leave while the incident is investigated. “Our agency is very concerned by what is depicted in this video,” police in Flagstaff, Arizona, said in a Wednesday evening press release. The footage, shot and posted to Facebook on Wednesday, shows a woman struggling with two officers who apparently believe there is an outstanding warrant for her arrest. She can be heard on video saying the issue has already been resolved. “You cannot arrest me until I know I have a warrant,” she tells the officers as she struggles with them. Suddenly, one of them strikes her in the face with a closed fist. Authorities have See.",neutral
158,To all those with family members deployed in Iraq: God bless your military members who are currently trying to free Mosul from ISIS control. May they rescue and help those poor civilians that ISIS has taken as human shields. May both the US and Iraqi troops and those being held captive be kept safe.,joy
105,"Hey,  Measles is still killing kids around the world basically in the countries that don't take care of their people. The governments and terrorist organizations like Boko Haram don't care about kids. I gotta think this is just another example of pure evil, killing kids all the while the government takes aid, money, food, or whatever and keeps it for themselves or sells it to the people and puts them in servitude. God bless the USA!",disgust
249,"Hey, remember that eighties song ""You Spin me Right Round"" that people like to laugh about? The guy responsible for that just dies recently, he seemed like he was pretty interesting. I heard that he was on the UK version of Celebrity Big Brother, but I bet that show is just as boring as the American version. It's so interesting how the celebrity culture over there compares to over here.",neutral
296,"Positions of power will ALWAYS, inevitably be taken over by a corrupt and greedy type of individual or group of people.  Any time you have a person who has authority over another person, eventually things will go bad.  Whether it's kings demanding that they get to deflower any bride before her wedding day (as a law) or our own United States government attempting to strip more and more freedoms from us when we're already slaves... These are the acts of corruption.  These are the acts of cowardice, scum-bag gangsters that wear suits.",disgust
